"","topic","term","beta"
"1",1,"food",0.0196747497379928
"2",1,"development",0.0191254381843808
"3",1,"company",0.0186556322503704
"4",1,"public",0.0178750316215532
"5",1,"project",0.0168125474323299
"6",1,"people",0.0129239998554443
"7",1,"community",0.0125264717574356
"8",1,"communities",0.0114495320010119
"9",1,"products",0.0107845759097973
"10",1,"business",0.0106327924541939
"11",2,"building",0.0328339313433596
"12",2,"green",0.0319814489655699
"13",2,"properties",0.0169103239433036
"14",2,"property",0.0143019823396188
"15",2,"construction",0.013112324095987
"16",2,"buildings",0.0129596406850396
"17",2,"office",0.0116427462656182
"18",2,"tenants",0.0112165050767234
"19",2,"integrated",0.011063821665776
"20",2,"environment",0.00998231417156526
"21",3,"energy",0.0553743466703308
"22",3,"water",0.0516802925648573
"23",3,"emissions",0.0379663148771555
"24",3,"waste",0.0321107899145453
"25",3,"consumption",0.0220961511021387
"26",3,"intensity",0.0182435539020098
"27",3,"ghg",0.0174032755003356
"28",3,"carbon",0.0152735132621299
"29",3,"scope",0.0138783340291614
"30",3,"reduce",0.0134238438244822
"31",4,"suppliers",0.0249728081923182
"32",4,"supply",0.018239598671116
"33",4,"chain",0.0145474321314678
"34",4,"oil",0.0141330807763169
"35",4,"operations",0.0138593129166636
"36",4,"palm",0.0128900267108641
"37",4,"supplier",0.00856893400714756
"38",4,"local",0.00836915746091409
"39",4,"areas",0.00788821392368536
"40",4,"land",0.00788821392368536
"41",5,"community",0.0214515682431442
"42",5,"support",0.0160765960681264
"43",5,"programme",0.0149744553090066
"44",5,"social",0.0116463159723542
"45",5,"children",0.0104464484464159
"46",5,"education",0.00941488812999831
"47",5,"communities",0.00840504487287376
"48",5,"programmes",0.00748206985292122
"49",5,"students",0.00744949426398171
"50",5,"activities",0.00610303658781565
"51",6,"employees",0.0699115201900238
"52",6,"employee",0.0307191211401425
"53",6,"training",0.0250896674584323
"54",6,"work",0.0245552256532067
"55",6,"hours",0.0157428741092637
"56",6,"rate",0.0154697149643705
"57",6,"number",0.0140920427553444
"58",6,"years",0.012666864608076
"59",6,"development",0.0126609263657957
"60",6,"people",0.0116929928741093
"61",7,"risk",0.0367975431660481
"62",7,"management",0.0246646562852993
"63",7,"business",0.0207111303856705
"64",7,"risks",0.0180687227690818
"65",7,"compliance",0.0172013675972245
"66",7,"policy",0.0154111868646119
"67",7,"conduct",0.0139034008391157
"68",7,"policies",0.0122191181216718
"69",7,"ensure",0.0112206511215104
"70",7,"framework",0.0110038123285461
"71",8,"data",0.0255321489063726
"72",8,"assurance",0.0249088949340451
"73",8,"information",0.024542274950323
"74",8,"performance",0.0164106437113674
"75",8,"issues",0.0159487025318776
"76",8,"engagement",0.0129497510650311
"77",8,"standards",0.012267837895308
"78",8,"management",0.0119012179115859
"79",8,"stakeholders",0.0108453523584664
"80",8,"based",0.00989214040078897
"81",9,"safety",0.0548783815955266
"82",9,"health",0.0303224382907809
"83",9,"service",0.0133672823556054
"84",9,"customer",0.0105801334347546
"85",9,"system",0.0103827103861943
"86",9,"customers",0.00850138486462005
"87",9,"training",0.00749104338081164
"88",9,"services",0.00746201057955278
"89",9,"connecting",0.00721232848872656
"90",9,"ensure",0.00714264976570529
"91",10,"board",0.0343700837132391
"92",10,"committee",0.0194532802039434
"93",10,"management",0.0194475385551715
"94",10,"corporate",0.0173460951046703
"95",10,"business",0.0172255204804612
"96",10,"company",0.0170475293685335
"97",10,"performance",0.0159279078580205
"98",10,"manager",0.0147566115085608
"99",10,"governance",0.0130800500671773
"100",10,"directors",0.0116101879815808
"101",11,"gri",0.0642707276225104
"102",11,"management",0.0563015583461483
"103",11,"approach",0.05044919965882
"104",11,"material",0.025645160286143
"105",11,"health",0.0166673930232413
"106",11,"governance",0.0162876122999147
"107",11,"environmental",0.0160510275870227
"108",11,"economic",0.0145443565207105
"109",11,"disclosure",0.0126641306445688
"110",11,"safety",0.0121909612187848
"111",12,"climate",0.0225411125345929
"112",12,"global",0.0151415401870182
"113",12,"customers",0.0141613134126937
"114",12,"business",0.0128528246488281
"115",12,"change",0.0114075600559869
"116",12,"impact",0.0110929756493432
"117",12,"financial",0.00937415939855109
"118",12,"growth",0.00919635082088293
"119",12,"future",0.00848055731591113
"120",12,"strategy",0.00827083437814869
