"X1","X2","X3","X4","X5","X6","X7","Company","Year","page"
0.169312169312169,0.132275132275132,0.132275132275132,0.150793650793651,0.132275132275132,0.132275132275132,0.150793650793651,"ASCENDAS REAL ESTATE INV TRUST",2015,1
0.0714285714285714,0.141604010025063,0.18546365914787,0.176691729323308,0.220551378446115,0.0802005012531328,0.12406015037594,"ASCENDAS REAL ESTATE INV TRUST",2015,2
0.081221198156682,0.0570276497695852,0.202188940092166,0.0771889400921659,0.133640552995392,0.290898617511521,0.157834101382488,"ASCENDAS REAL ESTATE INV TRUST",2015,3
0.074784276126558,0.403643336529243,0.074784276126558,0.0814956855225312,0.14189837008629,0.0814956855225312,0.14189837008629,"ASCENDAS REAL ESTATE INV TRUST",2015,4
0.0854119425547997,0.111866969009826,0.0854119425547997,0.101284958427816,0.0748299319727891,0.371126228269085,0.170068027210884,"ASCENDAS REAL ESTATE INV TRUST",2015,5
0.117745535714286,0.0591517857142857,0.176339285714286,0.0825892857142857,0.133370535714286,0.320870535714286,0.109933035714286,"ASCENDAS REAL ESTATE INV TRUST",2015,6
0.0783633841886269,0.0443828016643551,0.136615811373093,0.389042995839112,0.102635228848821,0.117198335644938,0.131761442441054,"ASCENDAS REAL ESTATE INV TRUST",2015,7
0.0429782082324455,0.0853510895883777,0.102300242130751,0.153147699757869,0.453995157384988,0.0895883777239709,0.0726392251815981,"ASCENDAS REAL ESTATE INV TRUST",2015,8
0.0394088669950739,0.0566502463054187,0.0523399014778325,0.121305418719212,0.0695812807881773,0.625615763546798,0.0350985221674877,"ASCENDAS REAL ESTATE INV TRUST",2015,9
0.0633053221288515,0.0750700280112045,0.357422969187675,0.13781512605042,0.169187675070028,0.153501400560224,0.0436974789915966,"ASCENDAS REAL ESTATE INV TRUST",2015,10
0.0473005255613951,0.0740563784042045,0.268036311514572,0.140946010511228,0.0740563784042045,0.247969421882465,0.14763497372193,"ASCENDAS REAL ESTATE INV TRUST",2015,11
0.0659340659340659,0.0467032967032967,0.189010989010989,0.427472527472527,0.0620879120879121,0.150549450549451,0.0582417582417582,"ASCENDAS REAL ESTATE INV TRUST",2015,12
0.0785207700101317,0.160081053698075,0.188449848024316,0.348024316109422,0.0785207700101317,0.113981762917933,0.0324214792299899,"ASCENDAS REAL ESTATE INV TRUST",2015,13
0.0423096067695371,0.0841214534594325,0.453459432553509,0.0632155301144848,0.052762568442011,0.261821801891488,0.0423096067695371,"ASCENDAS REAL ESTATE INV TRUST",2015,14
0.126159554730983,0.0482374768089054,0.234384662956092,0.08286951144094,0.069882498453927,0.225726654298083,0.21273964131107,"ASCENDAS REAL ESTATE INV TRUST",2015,15
0.12202380952381,0.0942460317460317,0.389384920634921,0.0907738095238095,0.0525793650793651,0.142857142857143,0.108134920634921,"ASCENDAS REAL ESTATE INV TRUST",2015,16
0.0611295681063123,0.214617940199336,0.279734219269103,0.0890365448504983,0.107641196013289,0.158803986710963,0.0890365448504983,"ASCENDAS REAL ESTATE INV TRUST",2015,17
0.0467412771560237,0.0421329822251481,0.0743910467412772,0.604344963791968,0.0836076366030283,0.0743910467412772,0.0743910467412772,"ASCENDAS REAL ESTATE INV TRUST",2015,18
0.173598553345389,0.0470162748643761,0.0765521398432791,0.342374924653406,0.0512356841470765,0.262206148282098,0.0470162748643761,"ASCENDAS REAL ESTATE INV TRUST",2015,19
0.0939199209095403,0.0281759762728621,0.187345526445872,0.388037567968364,0.0489372219476026,0.166584280771132,0.0869995056846268,"ASCENDAS REAL ESTATE INV TRUST",2015,20
0.060952380952381,0.0742857142857143,0.0809523809523809,0.560952380952381,0.0742857142857143,0.0676190476190476,0.0809523809523809,"ASCENDAS REAL ESTATE INV TRUST",2015,21
0.0347637153720804,0.551873981531776,0.068984247691472,0.068984247691472,0.0613796849538294,0.0727865290602933,0.141227593699077,"ASCENDAS REAL ESTATE INV TRUST",2015,22
0.0618075801749271,0.674052478134111,0.0536443148688047,0.0618075801749271,0.0332361516034985,0.0699708454810496,0.0454810495626822,"ASCENDAS REAL ESTATE INV TRUST",2015,23
0.0556805399325084,0.724971878515186,0.0517435320584927,0.0438695163104612,0.0281214848143982,0.0399325084364454,0.0556805399325084,"ASCENDAS REAL ESTATE INV TRUST",2015,24
0.0757142857142857,0.590714285714286,0.0707142857142857,0.0657142857142857,0.0507142857142857,0.0657142857142857,0.0807142857142857,"ASCENDAS REAL ESTATE INV TRUST",2015,25
0.0623276337562052,0.0468836183121897,0.0700496414782129,0.220628792057363,0.378929950358522,0.0739106453392168,0.14726971869829,"ASCENDAS REAL ESTATE INV TRUST",2015,26
0.0892857142857143,0.048963133640553,0.0529953917050691,0.0691244239631336,0.605414746543779,0.0691244239631336,0.0650921658986175,"ASCENDAS REAL ESTATE INV TRUST",2015,27
0.034896401308615,0.034896401308615,0.0272628135223555,0.0425299890948746,0.584514721919302,0.237186477644493,0.0387131952017448,"ASCENDAS REAL ESTATE INV TRUST",2015,28
0.0305250305250305,0.214285714285714,0.0390720390720391,0.274114774114774,0.316849816849817,0.0860805860805861,0.0390720390720391,"ASCENDAS REAL ESTATE INV TRUST",2015,29
0.0361904761904762,0.0495238095238095,0.0850793650793651,0.12952380952381,0.551746031746032,0.102857142857143,0.0450793650793651,"ASCENDAS REAL ESTATE INV TRUST",2015,30
0.0798650168728909,0.111361079865017,0.150731158605174,0.166479190101237,0.213723284589426,0.134983127109111,0.142857142857143,"ASCENDAS REAL ESTATE INV TRUST",2016,2
