"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","Company","Year"
0.0582505378552818,0.013038260700347,0.0132220504448793,0.0259035428176049,0.00531909142999232,0.00807593759797615,0.0264549120512017,0.00954625555423419,0.0378498762122015,0.0564126404099592,0.00660561964171811,0.00697319913078262,0.0139572094230083,0.338346108522439,0.369038995859325,0.00384877347373428,0.00715698887531487,"ASCENDAS REAL ESTATE INV TRUST",2015
0.0300666360294118,0.0187385110294118,0.0148322610294118,0.00741038602941176,0.00604319852941176,0.00565257352941176,0.0286994485294118,0.00760569852941176,0.0331916360294118,0.0427619485294118,0.00545726102941176,0.00584788602941176,0.0197150735294118,0.373230698529412,0.394910386029412,0.00350413602941176,0.00233226102941176,"ASCENDAS REAL ESTATE INV TRUST",2016
0.0117053655175054,0.0121934878735093,0.00340728546543902,0.00178021094542601,0.00682414195746636,0.00893933883348328,0.0512432763538217,0.0016175034934247,0.0434333186577592,0.0146340996535288,0.0102409984494937,0.0442468559177657,0.0130070251335158,0.413267357056718,0.357458701020271,0.00373270036944163,0.00226833330142991,"ASCENDAS REAL ESTATE INV TRUST",2017
0.0111649687808084,0.023734801183043,0.00362306933946763,0.00613703581991456,0.00669569503779165,0.00655603023332238,0.0448241866579034,0.00334373973052908,0.0248521196187972,0.0173102201774565,0.0187068682221492,0.055857706210976,0.0156342425238252,0.405857706210976,0.351807426881367,0.00180742688136707,0.00208675649030562,"ASCENDAS REAL ESTATE INV TRUST",2018
0.00916915325906044,0.0179634433431797,0.00891424630010046,0.00292393276454094,0.00623772323102068,0.0047082814772608,0.0174536294252598,0.0208948733712195,0.027522454304179,0.0236988499197793,0.00814952542322052,0.0762096834655351,0.0240812103582192,0.397137544796149,0.350234664347513,0.00241411884662098,0.00228666536714099,"ASCENDAS REAL ESTATE INV TRUST",2019
0.00868934143169564,0.0159759192241938,0.00165116970030539,0.00918615355391142,0.00123715959845891,0.00289320000584485,0.00587407273913954,0.138357305330015,0.0482687071682196,0.0122498283075754,0.00612247880024743,0.13777769118743,0.0280650141981111,0.206337764053208,0.371693398730694,0.000409139394765938,0.00521165657618516,"ASCENDAS REAL ESTATE INV TRUST",2020
0.00658829327689676,0.00110529672687212,0.00147493694372771,0.00233743078305743,0.00233743078305743,0.00369277824486128,0.00283028440553156,0.122532107963935,0.083165424868814,0.0139810976140086,0.00461687878700026,0.151548864987099,0.00701954019656162,0.212231467254226,0.383313280955556,0.00067404980720726,0.000550836401588728,"ASCENDAS REAL ESTATE INV TRUST",2021
0.00434037692747002,0.0223015419760137,0.0237578526556254,0.0324957167332953,0.00968018275271273,0.00385494003426613,0.0494860079954312,0.392689891490577,0.0237578526556254,0.0164762992575671,0.0106510565391205,0.0019131924614506,0.0388063963449457,0.233952027412907,0.12181610508281,0.00531125071387778,0.00870930896630497,"CAPITALAND INTEGRATED COMM TR",2015
0.0184854315557999,0.00933434121312076,0.00524555616639179,0.0260788894997251,0.0140072384093824,0.00719259666483416,0.0058296683159245,0.344809419094741,0.0225742166025289,0.00816611691405534,0.00855552501374381,0.00816611691405534,0.0256894814000366,0.305284496976361,0.18164742532527,0.00427203591717061,0.00466144401685908,"CAPITALAND INTEGRATED COMM TR",2016
0.0105635794021512,0.00498772860422769,0.00229593856385084,0.0140244523112071,0.00652589434158589,0.00133458497800197,0.0251761539070541,0.308006378863793,0.00806406007894409,0.016716242351584,0.0109481208364907,0.00441091645271837,0.0111403915536605,0.369148466923782,0.201488401551738,0.00383410430120904,0.00133458497800197,"CAPITALAND INTEGRATED COMM TR",2017
0.00532594340643876,0.0161835068955812,0.0200480633917166,0.00735023490441447,0.0222563813895083,0.00495789040680682,0.0110307649007339,0.261490831150274,0.0279612028838035,0.00937452640239018,0.00182943990993527,0.00293359890883111,0.00863842040312628,0.398406547013358,0.194873238216891,0.0044058109073589,0.00293359890883111,"CAPITALAND INTEGRATED COMM TR",2018
0.00976426971192926,0.0198754931699677,0.00942722892999465,0.00234937250936775,0.00757350462935427,0.00268641329130237,0.0106068716667658,0.240974246119075,0.0685778861595194,0.0170106465235235,0.00875314736612542,0.0141457998770792,0.00892166775709272,0.346805051646543,0.225975931322984,0.00251789290033506,0.00403457641904082,"CAPITALAND INTEGRATED COMM TR",2019
0.00592909933312426,0.00210654627005213,0.00411841630324799,0.0219234660970313,0.00773978236300053,0.00703562785138198,0.0112605549210933,0.353982615076007,0.0329887512796085,0.0287638242098972,0.0117635224293922,0.0746344609667627,0.00934927838955721,0.228441925004586,0.188405711343988,0.0011006112534542,0.0104558069078149,"CAPITALAND INTEGRATED COMM TR",2020
0.00824700076616683,0.0143144710355625,0.000966036442892018,0.0289572992857041,0.00387842217220194,0.00355482375783417,0.00929869561286208,0.319629574991553,0.0626924339835441,0.0383416533023694,0.00743800473024741,0.105083826265722,0.0132627761888673,0.187196923911543,0.193102594973755,0.00137053446085173,0.00266492811832281,"CAPITALAND INTEGRATED COMM TR",2021
0.00479919324953982,0.0336125775312707,0.004282824355602,0.00232062255863824,0.00686466882529114,0.000926426545006105,0.00572865725862792,0.129605554914313,0.16177533700664,0.0799825042068878,0.000564968319249625,0.161981884564215,0.00954978707376785,0.272123369641154,0.12315094374009,0.000719878987430974,0.00201080122227555,"CAPITALAND INVESTMENT LIMITED",2021
