"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Company","Year"
0.0493559004862074,0.0120465823461596,0.044761156872901,0.0107600541344338,0.0342851414345625,0.0315282952665787,0.0899734340278358,0.133899182971045,0.0749026749761909,0.508095102838716,0.0103924746453693,"ASCENDAS REAL ESTATE INV TRUST",2015
0.0596768465909091,0.00928622159090909,0.00928622159090909,0.0128018465909091,0.0292080965909091,0.0503018465909091,0.104598721590909,0.0807705965909091,0.0600674715909091,0.574715909090909,0.00928622159090909,"ASCENDAS REAL ESTATE INV TRUST",2016
0.034908144247552,0.0648463154157915,0.0065970475993255,0.00806141466733722,0.0059462177913203,0.0939709493240245,0.0498772298316717,0.0729816880158566,0.0806289382599178,0.574283347631867,0.00789870721533592,"ASCENDAS REAL ESTATE INV TRUST",2017
0.036389029964449,0.0873666835957339,0.011389029964449,0.00803707465718639,0.00300914169629253,0.0799644489588624,0.0817800914169629,0.0694895886236668,0.0950482478415439,0.52270187912646,0.00482478415439309,"ASCENDAS REAL ESTATE INV TRUST",2018
0.0507960049127523,0.0623942715454314,0.00797163580747573,0.00261858966931615,0.0128148680277153,0.054364702338192,0.0878849674414293,0.054109795379232,0.0966792575255486,0.566855143327231,0.00351076402567608,"ASCENDAS REAL ESTATE INV TRUST",2019
0.0448410577581729,0.0627262941579411,0.0182616092196286,0.0113062395086076,0.00658652434755772,0.12292336296642,0.0133762900178401,0.0197520455862759,0.152152476156782,0.544882458768358,0.00319164151241654,"ASCENDAS REAL ESTATE INV TRUST",2020
0.0135870782741162,0.0613322729512971,0.00865854204937497,0.00822729512971011,0.0148808190331108,0.161381558313545,0.0161745597921054,0.0132174380572606,0.134829069402751,0.565829562256373,0.00188180474035575,"ASCENDAS REAL ESTATE INV TRUST",2021
0.0308473080317741,0.00609002647837599,0.0512356575463372,0.00997352162400706,0.0245366284201236,0.0308473080317741,0.0230803177405119,0.0492939099735216,0.342012356575463,0.414342453662842,0.0177405119152692,"CAPITALAND INTEGRATED COMM TR",2015
0.0291171056357972,0.0112043330501274,0.0244442084395355,0.00322146700651374,0.0129566694987256,0.0744831492495044,0.0283382894364203,0.0172401585952988,0.308128009062588,0.48238813367318,0.00847847635230813,"CAPITALAND INTEGRATED COMM TR",2016
0.024907797451539,0.0137560958556921,0.0195242173707853,0.0114488472496548,0.0101029522294664,0.0758595375015294,0.0154865323102201,0.0154865323102201,0.285434619216584,0.523658037789935,0.00433483071437311,"CAPITALAND INTEGRATED COMM TR",2017
0.0232877170676214,0.0207113460701977,0.0197912135711179,0.00322882858768026,0.0225516110683575,0.0648777060260314,0.0146384715762706,0.0247599290661492,0.247063940843845,0.551259745039649,0.0078294910830796,"CAPITALAND INTEGRATED COMM TR",2018
0.0213254894751356,0.0155957961822471,0.010034623280326,0.0073382970248491,0.0228421729938413,0.097328185801391,0.0339645187976836,0.020482887520299,0.24444648711585,0.519977326347397,0.00666421546097987,"CAPITALAND INTEGRATED COMM TR",2019
0.00860531682380591,0.027013927627548,0.0356649687702902,0.0208777240263006,0.0186646669897852,0.0868670611151247,0.00689522729558943,0.0322447897138572,0.253349306362082,0.50654315003978,0.00327386123583689,"CAPITALAND INTEGRATED COMM TR",2020
0.0129071640276235,0.0567547491744563,0.0380669407447176,0.0171139434144045,0.0140397584779107,0.134661067433497,0.0125835656132558,0.013716160063543,0.240720447742533,0.456479690522244,0.00295651278581462,"CAPITALAND INTEGRATED COMM TR",2021
0.0187723564259762,0.0588942194849455,0.00457221184268587,0.00415911672753561,0.0171199759653751,0.286922723047891,0.18111873668003,0.0282735440744322,0.103766676368143,0.291053674199394,0.00534676518359261,"CAPITALAND INVESTMENT LIMITED",2021
0.0103667121537029,0.00407650486278077,0.00765048627807741,0.00579201594212316,0.0126064071739554,0.583204453397448,0.0991444105096714,0.00807936404791301,0.190781293997877,0.0727922542075509,0.00550609742889943,"CITY DEVELOPMENTS LIMITED",2015
0.00536313817228756,0.00407650486278077,0.0170857972144605,0.00221803452682652,0.0106526306669266,0.584300474364806,0.0937119587584205,0.0089371195875842,0.192639764333832,0.0768427664782204,0.00417181103385535,"CITY DEVELOPMENTS LIMITED",2016
0.00520305773613573,0.00920723600911623,0.0142995062041023,0.00159059255507723,0.0180425424158015,0.618886901747278,0.0957323056469992,0.0125150354520132,0.143695397569005,0.0779311218029881,0.00289630286148392,"CITY DEVELOPMENTS LIMITED",2017
0.00342837128789563,0.0216916890622158,0.00987424814942041,0.00183542470717398,0.0312493685465457,0.709770521395327,0.0511797234402258,0.0111708325755892,0.123899587113635,0.0346575333239036,0.00124270039806826,"CITY DEVELOPMENTS LIMITED",2018
0.00382655659375355,0.0181026681138713,0.00462678706012786,0.0017779665998353,0.030234161984106,0.823838720096842,0.0110286307911224,0.0120849350067365,0.0842977322923547,0.00840387486141463,0.0017779665998353,"CITY DEVELOPMENTS LIMITED",2019
0.00219689129710666,0.0201813960939069,0.00348349661693996,0.00474213225590732,0.0106996742803528,0.848307707172698,0.00737128225730581,0.013944157260802,0.0755613642084707,0.0122100370471137,0.00130186150939654,"CITY DEVELOPMENTS LIMITED",2020
0.00336726391048143,0.0181471137905402,0.00287718162824562,0.00171646043347661,0.00736530358135249,0.872979583031429,0.0104863539050647,0.00633355140822447,0.0720045772278226,0.00419266564898384,0.000529945434379389,"CITY DEVELOPMENTS LIMITED",2021
