"","topics","CaoJuan2009","Deveaud2014"
"1",50,0.202329697644682,1.93504665046149
"2",49,0.201065226178283,1.95935260618426
"3",48,0.205582580762509,1.95607457253575
"4",47,0.211140425296001,1.93615124937805
"5",46,0.223783655173646,1.90670440650314
"6",45,0.214740380592756,1.92242019449081
"7",44,0.215368868928476,1.92767443799082
"8",43,0.231526282732714,1.89266261683446
"9",42,0.227217029713954,1.92069432101015
"10",41,0.232577536876216,1.88533045465847
"11",40,0.229988701716946,1.89921541879674
"12",39,0.244328965908569,1.8753871150588
"13",38,0.245012978704082,1.87064550182615
"14",37,0.245146221238726,1.873613783579
"15",36,0.260697186841336,1.81299413145558
"16",35,0.295126963299517,1.74932445235657
"17",34,0.292651749839744,1.75836495027304
"18",33,0.283930652968209,1.76110299193849
"19",32,0.299996860394622,1.7222296499763
"20",31,0.28575327283559,1.76908229142671
"21",30,0.303437666891435,1.72023429452006
"22",29,0.323179054014754,1.67561553123505
"23",28,0.326907840618847,1.66791553936913
"24",27,0.348156875979892,1.63986446073924
"25",26,0.347224473394286,1.64402736259885
"26",25,0.316274435892388,1.65973503169024
"27",24,0.36264497985576,1.60015401906313
"28",23,0.358896304515715,1.60490030325748
"29",22,0.354086081938303,1.53994852477972
"30",21,0.390429414055043,1.53091195293867
"31",20,0.365460067353661,1.51335793585923
"32",19,0.361724374972348,1.53334255296882
"33",18,0.426901482884561,1.3895825187058
"34",17,0.382152276762993,1.46923692216133
"35",16,0.435877574632207,1.4073567817152
"36",15,0.434869124947038,1.38803876129545
"37",14,0.476374716518438,1.21866498376408
"38",13,0.477711464920925,1.21630415436668
"39",12,0.511839728566788,1.10015704062351
"40",11,0.521403884321801,1.06787415413402
"41",10,0.544476228685581,0.993766237698466
"42",9,0.567471676046172,0.936418791390199
"43",8,0.541716235780158,0.977926237067936
"44",7,0.569079778102338,0.888704675874298
"45",6,0.574715714646179,0.868492737608934
"46",5,0.595361023446383,0.830317300408778
"47",4,0.666635510794814,0.698344247588963
"48",3,0.712661719745941,0.629060860848083
"49",2,0.78749418707905,0.535415024765541
