time,open,high,low,close,Volume,Volume MA
2000-05-01T01:00:00Z,0.63,0.63,0.485,0.485,5375700,NaN
2000-06-01T01:00:00Z,0.485,0.61,0.425,0.6,21304800,NaN
2000-07-03T01:00:00Z,0.6,0.655,0.53,0.53,11981700,NaN
2000-08-01T01:00:00Z,0.55,0.565,0.43,0.46,89852400,NaN
2000-09-01T01:00:00Z,0.465,0.475,0.405,0.43,15905700,NaN
2000-10-02T01:00:00Z,0.435,0.44,0.395,0.41,12176100,NaN
2000-11-01T01:00:00Z,0.425,0.445,0.33,0.375,17274600,NaN
2000-12-01T01:00:00Z,0.375,0.39,0.325,0.36,5316300,NaN
2001-01-02T01:00:00Z,0.35,0.575,0.35,0.535,42865200,NaN
2001-02-01T01:00:00Z,0.535,0.575,0.495,0.525,24754500,NaN
2001-03-01T01:00:00Z,0.525,0.525,0.43,0.47,15667200,NaN
2001-04-02T01:00:00Z,0.47,0.535,0.36,0.52,10923300,NaN
2001-05-02T01:00:00Z,0.53,0.61,0.49,0.61,21237300,NaN
2001-06-01T01:00:00Z,0.6,0.7,0.52,0.7,29004300,NaN
2001-07-02T01:00:00Z,0.68,0.69,0.64,0.66,8029800,NaN
2001-08-01T01:00:00Z,0.645,0.68,0.645,0.68,7871400,NaN
2001-09-03T01:00:00Z,0.65,0.7,0.56,0.605,11700000,NaN
2001-10-01T01:00:00Z,0.61,0.65,0.59,0.61,10733400,NaN
2001-11-01T01:00:00Z,0.605,0.695,0.605,0.695,5773500,NaN
2001-12-03T01:00:00Z,0.68,0.72,0.63,0.65,7380000,18756360
2002-01-02T01:00:00Z,0.65,0.665,0.6,0.625,18341100,19404630
2002-02-01T01:00:00Z,0.625,0.735,0.62,0.695,15248700,19101825
2002-03-01T01:00:00Z,0.7,0.74,0.695,0.72,6686100,18837045
2002-04-01T01:00:00Z,0.71,0.85,0.71,0.85,14287500,15058800
2002-05-01T01:00:00Z,0.845,0.905,0.83,0.895,7793100,14653170
2002-06-03T01:00:00Z,0.89,0.905,0.84,0.87,5754600,14332095
2002-07-01T01:00:00Z,0.87,0.885,0.79,0.85,9177300,13927230
2002-08-01T01:00:00Z,0.845,0.895,0.84,0.85,10095300,14166180
2002-09-02T01:00:00Z,0.84,0.885,0.81,0.87,5079600,12276900
2002-10-01T01:00:00Z,0.85,0.86,0.8,0.815,1761300,11127240
2002-11-01T01:00:00Z,0.81,0.845,0.79,0.84,6142500,10651005
2002-12-02T01:00:00Z,0.84,0.95,0.83,0.95,8225100,10516095
2003-01-02T01:00:00Z,0.93,0.93,0.81,0.85,4969800,9702720
2003-02-03T01:00:00Z,0.845,1.06,0.77,1.05,22884300,9396720
2003-03-03T01:00:00Z,1.05,1.1,0.995,1.09,35301600,10760310
2003-04-01T01:00:00Z,1.05,1.12,1.05,1.12,9638100,10848645
2003-05-01T01:00:00Z,1.12,1.24,1.11,1.24,7628400,10645065
2003-06-02T01:00:00Z,1.24,1.27,1.19,1.25,4214700,10319130
2003-07-01T01:00:00Z,1.25,1.68,1.25,1.67,7815600,10421235
2003-08-01T01:00:00Z,1.67,1.72,1.31,1.35,6453000,10374885
2003-09-01T01:00:00Z,1.34,1.36,1.27,1.3,5092200,9712440
2003-10-01T01:00:00Z,1.29,1.48,1.28,1.33,4769100,9188460
2003-11-03T01:00:00Z,1.34,1.6,1.33,1.58,6735600,9190935
2003-12-01T01:00:00Z,1.58,1.71,1.53,1.71,3910500,8672085
2004-01-02T01:00:00Z,1.66,1.72,1.48,1.62,4971600,8531010
2004-02-02T01:00:00Z,1.62,2.07,1.61,1.98,6230700,8554815
2004-03-01T01:00:00Z,1.95,2.01,1.86,1.97,10896300,8640765
2004-04-01T01:00:00Z,1.98,2.02,1.92,1.94,5617800,8416890
2004-05-03T01:00:00Z,1.92,1.94,1.88,1.94,26290800,9477450
2004-06-01T01:00:00Z,1.93,2.36,1.9,2.35,2804400,9529605
2004-07-01T01:00:00Z,2.31,2.41,2.07,2.12,5373000,9491130
2004-08-02T01:00:00Z,2.13,2.57,2.13,2.44,9448200,9552285
2004-09-01T01:00:00Z,2.44,2.54,2.4,2.51,2754900,9441540
2004-10-01T01:00:00Z,2.49,2.51,2.22,2.4,5583600,8576505
2004-11-01T01:00:00Z,2.39,3,2.29,2.61,2973600,6960105
2004-12-01T01:00:00Z,2.57,2.64,2.38,2.42,6055200,6780960
2005-01-03T01:00:00Z,2.41,2.53,2.32,2.32,3660300,6582555
2005-02-01T01:00:00Z,2.32,2.75,2.31,2.65,6678900,6705765
2005-03-01T01:00:00Z,2.7,3.16,2.62,2.74,6321600,6631065
2005-04-01T01:00:00Z,2.74,2.8,2.67,2.7,4463100,6531570
2005-05-02T01:00:00Z,2.72,2.9,2.7,2.88,5501700,6552045
2005-06-01T01:00:00Z,2.78,2.91,2.73,2.76,7101900,6668685
2005-07-01T01:00:00Z,2.75,3.04,2.74,2.99,3842100,6524010
2005-08-01T01:00:00Z,2.97,3.22,2.97,3.16,3245400,6490755
2005-09-01T01:00:00Z,3.1,3.8,3.1,3.66,1863000,6335325
2005-10-03T01:00:00Z,3.7,3.76,3.4,3.42,2413800,6144480
2005-11-01T01:00:00Z,3.42,3.64,3.42,3.5,2181600,5708745
2005-12-01T01:00:00Z,3.52,3.96,3.52,3.62,1446300,5500170
2006-01-02T01:00:00Z,3.62,3.72,3.56,3.58,4212900,4396275
2006-02-01T01:00:00Z,3.6,3.62,3.44,3.52,1921500,4352130
2006-03-01T01:00:00Z,3.52,3.7,3.34,3.5,13556700,4761315
2006-04-03T01:00:00Z,3.48,3.66,3.44,3.46,6022800,4590045
2006-05-01T01:00:00Z,3.44,3.64,3.4,3.54,5729400,4738770
2006-06-01T01:00:00Z,3.6,3.64,3.14,3.14,3672900,4643235
2006-07-03T01:00:00Z,3.16,3.32,3.1,3.3,3089700,4649040
2006-08-01T01:00:00Z,3.24,3.34,3.08,3.08,1609200,4426740
2006-09-01T01:00:00Z,3.06,3.24,2.98,3.18,6300000,4558725
2006-10-02T01:00:00Z,3.18,3.2,3.04,3.14,3163500,4382955
2006-11-01T01:00:00Z,3.14,3.28,3.02,3.1,2718900,4202820
2006-12-01T01:00:00Z,3.1,3.44,3.1,3.4,2679300,4113630
2007-01-01T01:00:00Z,3.4,3.82,3.4,3.8,3672000,4022145
2007-02-01T01:00:00Z,3.8,3.98,3.68,3.84,3018600,3817980
2007-03-01T01:00:00Z,3.84,4.1,3.66,3.9,4356000,3843675
2007-04-02T01:00:00Z,3.9,4.04,3.7,4.04,2345400,3798675
2007-05-01T01:00:00Z,4.02,4.1,3.8,4,5752800,3993165
2007-06-01T01:00:00Z,4,4.54,3.92,4.52,9286200,4336785
2007-07-02T01:00:00Z,4.48,4.7,4.1,4.3,2924100,4373910
2007-08-01T01:00:00Z,4.2,4.5,3.82,4.32,1560600,4379625
2007-09-03T01:00:00Z,4.32,4.78,4.18,4.7,963900,4217175
2007-10-01T01:00:00Z,4.7,5.45,4.2,4.94,1219500,4182075
2007-11-01T01:00:00Z,5,5.15,4.5,4.6,1462500,3577365
2007-12-03T01:00:00Z,4.6,4.6,3.9,4.36,4352400,3493845
2008-01-01T01:00:00Z,4.4,4.58,4.17,4.32,1815300,3298140
2008-02-01T01:00:00Z,4.32,4.88,4.32,4.88,693000,3149145
2008-03-03T01:00:00Z,4.8,4.88,4.34,4.45,990000,3044160
2008-04-01T01:00:00Z,4.39,5.3,4.35,5.23,2454300,3086415
2008-05-01T01:00:00Z,5.28,5.56,5,5.56,1331100,2837970
2008-06-02T01:00:00Z,5.65,5.68,4.81,4.84,678600,2713725
2008-07-01T01:00:00Z,4.84,4.93,4.3,4.93,7207200,2938140
2008-08-01T01:00:00Z,4.93,5.6,4.9,5.39,2370600,2922705
2008-09-01T01:00:00Z,5.39,5.5,4.54,5,4720500,2975130
2008-10-01T01:00:00Z,4.93,4.96,3.64,4.04,8803800,3264390
2008-11-03T01:00:00Z,4.02,5,3.9,4,2223900,3157785
2008-12-01T01:00:00Z,4.1,4.6,3.78,4.27,3207600,3200895
2009-01-01T01:00:00Z,4.33,4.6,4.2,4.35,1681200,2997315
2009-02-02T01:00:00Z,4.35,4.5,4.21,4.45,2704500,2668230
2009-03-02T01:00:00Z,4.3,4.6,4.2,4.41,5142600,2779155
2009-04-01T01:00:00Z,4.5,5.41,4.42,5.39,3380400,2870145
2009-05-01T01:00:00Z,5.38,5.6,5.01,5.4,3358800,2989890
2009-06-01T01:00:00Z,5.4,6.5,5.01,6.46,3036600,3080745
2009-07-01T01:00:00Z,6.43,6.95,5.76,6.75,3396600,3177450
2009-08-03T01:00:00Z,6.75,6.9,5.5,5.7,2248200,3072240
2009-09-01T01:00:00Z,5.71,6.16,5.64,5.98,5544900,3258720
2009-10-01T01:00:00Z,5.94,6.1,5.82,5.92,5944500,3521295
2009-11-02T01:00:00Z,5.94,6.09,5.86,5.92,2792700,3611430
2009-12-01T01:00:00Z,6,6.09,5.88,5.99,1665000,3571965
2010-01-01T01:00:00Z,6.01,6.4,5.95,6.4,3559500,3683385
2010-02-01T01:00:00Z,7.36,7.36,6.15,6.19,1493100,3724110
2010-03-01T01:00:00Z,6.17,6.7,6.01,6.6,4264200,3576960
2010-04-01T01:00:00Z,6.6,7.21,6.55,6.88,1926000,3554730
2010-05-03T01:00:00Z,6.87,7,6.16,6.32,1881900,3412800
2010-06-01T01:00:00Z,6.29,7.1,6.2,6.96,2115900,3078405
2010-07-01T01:00:00Z,6.96,7.68,6.96,7.68,1665900,3050505
2010-08-02T01:00:00Z,7.7,7.8,7.21,7.27,1358100,2958030
2010-09-01T01:00:00Z,7.27,8.09,7.12,7.6,3705300,3059235
2010-10-01T01:00:00Z,7.78,8.09,7.45,7.8,2142900,3031155
2010-11-01T01:00:00Z,7.9,12.2,7.9,8.93,2287800,2888415
2010-12-01T01:00:00Z,8.89,9.38,8.2,9.29,1535400,2796165
2011-01-03T01:00:00Z,9.19,9.95,7.5,9.05,2597400,2758095
2011-02-01T01:00:00Z,8.99,9.12,7.6,7.95,1205100,2666520
