time,open,high,low,close,Volume,Volume MA
2000-05-01T01:00:00Z,2.5,2.65,1.7,1.75,38915000,NaN
2000-06-01T01:00:00Z,1.73,2.15,1.73,2.1,12582000,NaN
2000-07-03T01:00:00Z,2.1,2.35,2.06,2.29,11127000,NaN
2000-08-01T01:00:00Z,2.25,2.35,2.17,2.17,3999000,NaN
2000-09-01T01:00:00Z,2.18,2.23,1.86,1.88,5408000,NaN
2000-10-02T01:00:00Z,1.9,2.01,1.74,1.9,5655000,NaN
2000-11-01T01:00:00Z,1.88,1.89,1.72,1.73,3745000,NaN
2000-12-01T01:00:00Z,1.7,1.71,1.49,1.58,2919000,NaN
2001-01-02T01:00:00Z,1.57,1.64,1.47,1.52,2713000,NaN
2001-02-01T01:00:00Z,1.52,1.64,1.52,1.59,2904000,NaN
2001-03-01T01:00:00Z,1.58,1.6,1.38,1.41,1751000,NaN
2001-04-02T01:00:00Z,1.41,1.45,1.33,1.45,1414000,NaN
2001-05-02T01:00:00Z,1.47,1.65,1.41,1.44,3203000,NaN
2001-06-01T01:00:00Z,1.46,1.58,1.44,1.54,2146000,NaN
2001-07-02T01:00:00Z,1.51,1.61,1.5,1.61,3433000,NaN
2001-08-01T01:00:00Z,1.61,1.61,1.38,1.39,1947000,NaN
2001-09-03T01:00:00Z,1.4,1.41,0.93,1.1,4197000,NaN
2001-10-01T01:00:00Z,1.11,1.37,1.02,1.17,3038000,NaN
2001-11-01T01:00:00Z,1.18,1.33,1.11,1.32,2587000,NaN
2001-12-03T01:00:00Z,1.32,1.52,1.25,1.45,1975000,5782900
2002-01-02T01:00:00Z,1.45,1.63,1.42,1.58,5231000,4098700
2002-02-01T01:00:00Z,1.59,1.79,1.55,1.72,5260000,3732600
2002-03-01T01:00:00Z,1.71,2.02,1.71,1.96,5017000,3427100
2002-04-01T01:00:00Z,1.94,1.95,1.77,1.77,2533000,3353800
2002-05-01T01:00:00Z,1.77,1.9,1.77,1.84,3035000,3235150
2002-06-03T01:00:00Z,1.84,1.99,1.83,1.91,3651000,3134950
2002-07-01T01:00:00Z,1.93,1.98,1.86,1.88,2221000,3058750
2002-08-01T01:00:00Z,1.88,1.92,1.69,1.75,2255000,3025550
2002-09-02T01:00:00Z,1.75,1.77,1.55,1.59,976000,2938700
2002-10-01T01:00:00Z,1.59,1.74,1.56,1.71,643000,2825650
2002-11-01T01:00:00Z,1.74,1.74,1.6,1.65,1293000,2802750
2002-12-02T01:00:00Z,1.64,1.64,1.5,1.58,2346000,2849350
2003-01-02T01:00:00Z,1.6,1.8,1.6,1.67,1354000,2756900
2003-02-03T01:00:00Z,1.68,1.8,1.68,1.78,1111000,2705150
2003-03-03T01:00:00Z,1.78,1.78,1.57,1.6,2295000,2648250
2003-04-01T01:00:00Z,1.61,1.72,1.43,1.52,2715000,2686650
2003-05-01T01:00:00Z,1.52,1.72,1.51,1.72,3065000,2630050
2003-06-02T01:00:00Z,1.71,1.8,1.67,1.78,3477000,2652000
2003-07-01T01:00:00Z,1.78,1.91,1.76,1.8,6966000,2870950
2003-08-01T01:00:00Z,1.82,1.94,1.78,1.93,5683000,3056350
2003-09-01T01:00:00Z,1.9,1.98,1.79,1.97,4938000,3041700
2003-10-01T01:00:00Z,1.96,2.3,1.91,2.24,12296000,3393500
2003-11-03T01:00:00Z,2.26,2.33,2.09,2.15,3828000,3334050
2003-12-01T01:00:00Z,2.15,2.3,2.11,2.14,2048000,3309800
2004-01-02T01:00:00Z,2.16,2.29,2.12,2.17,3182000,3317150
2004-02-02T01:00:00Z,2.14,2.15,1.93,1.99,5896000,3429400
2004-03-01T01:00:00Z,1.98,2.01,1.85,1.94,3388000,3487750
2004-04-01T01:00:00Z,1.97,1.99,1.88,1.97,8086000,3779300
2004-05-03T01:00:00Z,2,2.29,1.97,2.26,12565000,4358750
2004-06-01T01:00:00Z,2.27,2.43,2.25,2.35,6031000,4628150
2004-07-01T01:00:00Z,2.37,2.41,1.92,2.14,14402000,5283600
2004-08-02T01:00:00Z,2.1,2.1,1.98,2.05,5273000,5429950
2004-09-01T01:00:00Z,2.04,2.09,2,2.01,9316000,5828050
2004-10-01T01:00:00Z,2.02,2.03,1.93,1.95,9174000,6231200
2004-11-01T01:00:00Z,1.96,1.99,1.88,1.98,6371000,6435000
2004-12-01T01:00:00Z,1.96,2.04,1.86,2.01,8377000,6718100
2005-01-03T01:00:00Z,2.02,2.15,2,2.01,6710000,6900350
2005-02-01T01:00:00Z,2.01,2.16,2,2.15,6896000,7071300
2005-03-01T01:00:00Z,2.15,2.16,2.07,2.1,3692000,6907600
2005-04-01T01:00:00Z,2.09,2.1,2.02,2.04,1720000,6709450
2005-05-02T01:00:00Z,2.04,2.11,2.03,2.09,3315000,6628300
2005-06-01T01:00:00Z,2.09,2.28,2.06,2.28,6572000,6342100
2005-07-01T01:00:00Z,2.27,2.33,2.2,2.31,13262000,6813800
2005-08-01T01:00:00Z,2.3,2.44,2.2,2.28,15012000,7462000
2005-09-01T01:00:00Z,2.34,2.37,2.2,2.23,11452000,7875500
2005-10-03T01:00:00Z,2.22,2.25,2.13,2.15,3172000,7739300
2005-11-01T01:00:00Z,2.16,2.26,2.14,2.23,2701000,7704950
2005-12-01T01:00:00Z,2.23,2.39,2.21,2.38,3792000,7490250
2006-01-02T01:00:00Z,2.37,2.44,2.3,2.36,8974000,7310700
2006-02-01T01:00:00Z,2.36,2.55,2.36,2.41,8446000,7431450
2006-03-01T01:00:00Z,2.41,2.41,2.26,2.34,8061000,7114400
2006-04-03T01:00:00Z,2.34,2.57,2.34,2.56,6774000,7189450
2006-05-01T01:00:00Z,2.58,2.69,2.16,2.17,16517000,7549500
2006-06-01T01:00:00Z,2.14,2.19,1.98,2.13,9817000,7581650
2006-07-03T01:00:00Z,2.13,2.2,2.07,2.13,9966000,7761400
2006-08-01T01:00:00Z,2.14,2.2,2.05,2.1,5265000,7605800
2006-09-01T01:00:00Z,2.12,2.37,2.12,2.18,6835000,7612050
2006-10-02T01:00:00Z,2.19,2.39,2.18,2.24,8010000,7667750
2006-11-01T01:00:00Z,2.25,2.36,2.16,2.35,11061000,8036200
2006-12-01T01:00:00Z,2.36,2.53,2.35,2.5,9049000,8402650
2007-01-01T01:00:00Z,2.5,2.66,2.5,2.63,13289000,8901350
2007-02-01T01:00:00Z,2.63,2.71,2.49,2.58,11795000,9162500
2007-03-01T01:00:00Z,2.63,2.76,2.37,2.75,9283000,8963550
2007-04-02T01:00:00Z,2.81,3.56,2.81,3.2,23606000,9393250
2007-05-01T01:00:00Z,3.2,3.44,3.1,3.2,25737000,10107500
2007-06-01T01:00:00Z,3.22,3.26,3,3.1,30827000,11490250
2007-07-02T01:00:00Z,3.12,3.16,2.85,2.9,21323000,12421350
2007-08-01T01:00:00Z,2.89,2.9,2.5,2.62,15946000,13029050
2007-09-03T01:00:00Z,2.62,2.82,2.62,2.74,3642000,12762450
2007-10-01T01:00:00Z,2.74,3,2.73,3,6161000,12648200
2007-11-01T01:00:00Z,3,3,2.5,2.69,5741000,12532200
2007-12-03T01:00:00Z,2.66,2.79,2.5,2.79,4762000,12431600
