Company,Year,page,afinn,bing,nrc,loughran,jockers,average_sentiment
ASCENDAS REAL ESTATE INV TRUST,2015,1,1,1,0,0,0.75,0.55
ASCENDAS REAL ESTATE INV TRUST,2015,2,7,4,15,1,8.4,7.08
ASCENDAS REAL ESTATE INV TRUST,2015,3,37,23,31,10,29,26
ASCENDAS REAL ESTATE INV TRUST,2015,4,2,6,9,0,6.55,4.71
ASCENDAS REAL ESTATE INV TRUST,2015,5,3,9,16,3,10.2,8.24
ASCENDAS REAL ESTATE INV TRUST,2015,6,23,11,27,5,21.45,17.49
ASCENDAS REAL ESTATE INV TRUST,2015,7,40,20,26,10,25.25,24.25
ASCENDAS REAL ESTATE INV TRUST,2015,8,18,2,27,-1,22.15,13.63
ASCENDAS REAL ESTATE INV TRUST,2015,9,7,3,13,-11,11.3,4.66
ASCENDAS REAL ESTATE INV TRUST,2015,10,34,15,27,4,22.1,20.42
ASCENDAS REAL ESTATE INV TRUST,2015,11,26,12,33,6,30.05,21.41
ASCENDAS REAL ESTATE INV TRUST,2015,12,14,0,8,-5,23.6,8.12
ASCENDAS REAL ESTATE INV TRUST,2015,13,22,18,20,-6,22.9,15.38
ASCENDAS REAL ESTATE INV TRUST,2015,14,7,1,20,-11,11.95,5.79
ASCENDAS REAL ESTATE INV TRUST,2015,15,37,19,33,9,23.9,24.38
ASCENDAS REAL ESTATE INV TRUST,2015,16,10,9,23,8,14.45,12.89
ASCENDAS REAL ESTATE INV TRUST,2015,17,18,19,23,5,19.1,16.82
ASCENDAS REAL ESTATE INV TRUST,2015,18,23,6,22,7,17.1,15.02
ASCENDAS REAL ESTATE INV TRUST,2015,19,47,24,38,21,33.45,32.69
ASCENDAS REAL ESTATE INV TRUST,2015,20,41,35,40,16,36.05,33.61
ASCENDAS REAL ESTATE INV TRUST,2015,21,3,5,10,0,6.95,4.99
ASCENDAS REAL ESTATE INV TRUST,2015,22,12,11,17,7,14.55,12.31
ASCENDAS REAL ESTATE INV TRUST,2015,23,0,10,11,2,12.25,7.05
ASCENDAS REAL ESTATE INV TRUST,2015,24,12,5,4,1,7.65,5.93
ASCENDAS REAL ESTATE INV TRUST,2015,25,5,6,3,-1,8.45,4.29
ASCENDAS REAL ESTATE INV TRUST,2015,26,8,8,28,-4,17.45,11.49
ASCENDAS REAL ESTATE INV TRUST,2015,27,1,2,20,-3,9.55,5.91
ASCENDAS REAL ESTATE INV TRUST,2015,28,2,6,35,3,16.9,12.58
ASCENDAS REAL ESTATE INV TRUST,2015,29,0,7,10,-6,7.65,3.73
ASCENDAS REAL ESTATE INV TRUST,2015,30,9,4,29,-12,15.75,9.15
ASCENDAS REAL ESTATE INV TRUST,2016,2,7,5,11,2,9.15,6.83
ASCENDAS REAL ESTATE INV TRUST,2016,3,19,12,27,10,28.75,19.35
ASCENDAS REAL ESTATE INV TRUST,2016,4,2,8,11,-2,10.05,5.81
ASCENDAS REAL ESTATE INV TRUST,2016,5,0,2,7,0,10.25,3.85
ASCENDAS REAL ESTATE INV TRUST,2016,6,20,3,14,1,13.25,10.25
ASCENDAS REAL ESTATE INV TRUST,2016,7,15,9,10,4,12.2,10.04
ASCENDAS REAL ESTATE INV TRUST,2016,8,18,-1,24,-5,15.5,10.3
ASCENDAS REAL ESTATE INV TRUST,2016,9,12,12,22,0,21.6,13.52
ASCENDAS REAL ESTATE INV TRUST,2016,10,6,2,10,-11,10.5,3.5
ASCENDAS REAL ESTATE INV TRUST,2016,11,2,2,19,-12,20.25,6.25
ASCENDAS REAL ESTATE INV TRUST,2016,12,20,9,21,9,15.25,14.85
ASCENDAS REAL ESTATE INV TRUST,2016,13,8,5,25,7,20.3,13.06
ASCENDAS REAL ESTATE INV TRUST,2016,14,33,21,31,7,25.95,23.59
ASCENDAS REAL ESTATE INV TRUST,2016,15,29,12,14,7,18.3,16.06
ASCENDAS REAL ESTATE INV TRUST,2016,16,11,10,19,11,16.5,13.5
ASCENDAS REAL ESTATE INV TRUST,2016,17,43,15,35,12,37.05,28.41
ASCENDAS REAL ESTATE INV TRUST,2016,18,-13,-2,5,-4,0.85,-2.63
ASCENDAS REAL ESTATE INV TRUST,2016,19,-3,-2,3,-5,9.7,0.54
ASCENDAS REAL ESTATE INV TRUST,2016,20,11,9,25,-4,18.65,11.93
ASCENDAS REAL ESTATE INV TRUST,2016,22,42,22,30,19,25.55,27.71
ASCENDAS REAL ESTATE INV TRUST,2016,23,12,6,17,4,15.05,10.81
ASCENDAS REAL ESTATE INV TRUST,2016,24,12,5,16,-1,13.15,9.03
ASCENDAS REAL ESTATE INV TRUST,2016,25,1,5,2,5,5.8,3.76
ASCENDAS REAL ESTATE INV TRUST,2016,26,1,2,-3,-1,3.1,0.42
ASCENDAS REAL ESTATE INV TRUST,2016,27,2,4,4,-4,5.35,2.27
ASCENDAS REAL ESTATE INV TRUST,2016,28,7,6,23,-2,14.1,9.62
ASCENDAS REAL ESTATE INV TRUST,2016,29,1,3,24,-3,10.2,7.04
ASCENDAS REAL ESTATE INV TRUST,2016,30,4,11,34,-3,18.55,12.91
ASCENDAS REAL ESTATE INV TRUST,2016,31,10,5,20,2,9.75,9.35
ASCENDAS REAL ESTATE INV TRUST,2016,32,0,5,17,-14,11.95,3.99
ASCENDAS REAL ESTATE INV TRUST,2017,2,1,0,5,2,4.75,2.55
ASCENDAS REAL ESTATE INV TRUST,2017,3,59,43,58,19,64.85,48.77
ASCENDAS REAL ESTATE INV TRUST,2017,4,5,12,17,0,14.45,9.69
ASCENDAS REAL ESTATE INV TRUST,2017,5,1,5,4,1,5.65,3.33
ASCENDAS REAL ESTATE INV TRUST,2017,6,16,16,22,2,29.25,17.05
ASCENDAS REAL ESTATE INV TRUST,2017,7,5,7,5,5,11,6.6
ASCENDAS REAL ESTATE INV TRUST,2017,8,26,20,33,7,33.85,23.97
ASCENDAS REAL ESTATE INV TRUST,2017,9,42,20,34,15,27.8,27.76
ASCENDAS REAL ESTATE INV TRUST,2017,10,31,7,18,3,21.7,16.14
ASCENDAS REAL ESTATE INV TRUST,2017,11,40,28,39,11,35.95,30.79
ASCENDAS REAL ESTATE INV TRUST,2017,12,-22,-9,6,-8,8.5,-4.9
ASCENDAS REAL ESTATE INV TRUST,2017,13,10,8,17,-5,14.8,8.96
ASCENDAS REAL ESTATE INV TRUST,2017,14,21,11,16,10,19.2,15.44
ASCENDAS REAL ESTATE INV TRUST,2017,15,25,14,29,8,23.1,19.82
ASCENDAS REAL ESTATE INV TRUST,2017,16,24,7,21,4,15.65,14.33
ASCENDAS REAL ESTATE INV TRUST,2017,17,10,9,10,1,12.8,8.56
ASCENDAS REAL ESTATE INV TRUST,2017,18,-2,5,10,-2,11.9,4.58
ASCENDAS REAL ESTATE INV TRUST,2017,20,9,6,8,0,20.2,8.64
ASCENDAS REAL ESTATE INV TRUST,2017,21,27,8,22,6,31.65,18.93
ASCENDAS REAL ESTATE INV TRUST,2017,22,-14,-1,2,-14,0.4,-5.32
ASCENDAS REAL ESTATE INV TRUST,2017,23,-11,3,26,-5,11.3,4.86
ASCENDAS REAL ESTATE INV TRUST,2017,24,9,7,25,0,14.95,11.19
ASCENDAS REAL ESTATE INV TRUST,2017,25,23,12,50,16,35.75,27.35
ASCENDAS REAL ESTATE INV TRUST,2017,26,-25,-11,17,6,14.6,0.32
ASCENDAS REAL ESTATE INV TRUST,2017,27,10,9,31,8,20.2,15.64
ASCENDAS REAL ESTATE INV TRUST,2017,28,18,16,21,12,17.9,16.98
ASCENDAS REAL ESTATE INV TRUST,2017,29,17,4,24,6,12.8,12.76
ASCENDAS REAL ESTATE INV TRUST,2017,30,8,8,13,6,10.25,9.05
ASCENDAS REAL ESTATE INV TRUST,2017,31,29,17,25,11,24.1,21.22
ASCENDAS REAL ESTATE INV TRUST,2017,32,16,10,20,6,11.8,12.76
ASCENDAS REAL ESTATE INV TRUST,2017,34,40,18,44,15,33.45,30.09
ASCENDAS REAL ESTATE INV TRUST,2017,35,9,9,14,7,14,10.6
ASCENDAS REAL ESTATE INV TRUST,2017,36,14,2,17,2,13.25,9.65
ASCENDAS REAL ESTATE INV TRUST,2017,37,24,19,12,6,15.35,15.27
ASCENDAS REAL ESTATE INV TRUST,2017,38,19,5,8,4,13.8,9.96
ASCENDAS REAL ESTATE INV TRUST,2017,39,19,13,18,4,10.65,12.93
ASCENDAS REAL ESTATE INV TRUST,2017,40,7,3,23,3,12,9.6
ASCENDAS REAL ESTATE INV TRUST,2017,41,3,-2,10,1,12.6,4.92
ASCENDAS REAL ESTATE INV TRUST,2017,42,-10,-7,11,-9,8.9,-1.22
ASCENDAS REAL ESTATE INV TRUST,2017,43,5,-1,18,-3,10.15,5.83
ASCENDAS REAL ESTATE INV TRUST,2017,44,1,1,1,0,0.75,0.75
ASCENDAS REAL ESTATE INV TRUST,2018,1,5,3,3,2,2.95,3.19
ASCENDAS REAL ESTATE INV TRUST,2018,2,0,3,4,1,7.2,3.04
ASCENDAS REAL ESTATE INV TRUST,2018,3,55,46,58,21,59.75,47.95
ASCENDAS REAL ESTATE INV TRUST,2018,4,9,14,23,-1,19.7,12.94
ASCENDAS REAL ESTATE INV TRUST,2018,5,3,5,12,0,8.95,5.79
ASCENDAS REAL ESTATE INV TRUST,2018,6,25,22,30,11,33.3,24.26
ASCENDAS REAL ESTATE INV TRUST,2018,7,34,26,28,9,31.05,25.61
ASCENDAS REAL ESTATE INV TRUST,2018,8,17,11,23,6,23.1,16.02
ASCENDAS REAL ESTATE INV TRUST,2018,9,63,25,50,18,47.05,40.61
ASCENDAS REAL ESTATE INV TRUST,2018,10,34,6,19,2,16.3,15.46
ASCENDAS REAL ESTATE INV TRUST,2018,11,18,8,25,0,21,14.4
ASCENDAS REAL ESTATE INV TRUST,2018,12,-9,-9,10,-21,7.6,-4.28
ASCENDAS REAL ESTATE INV TRUST,2018,13,26,22,32,13,31.3,24.86
ASCENDAS REAL ESTATE INV TRUST,2018,14,25,11,18,12,21.6,17.52
ASCENDAS REAL ESTATE INV TRUST,2018,15,25,18,47,10,30.2,26.04
ASCENDAS REAL ESTATE INV TRUST,2018,16,32,21,45,6,34.2,27.64
ASCENDAS REAL ESTATE INV TRUST,2018,17,20,7,18,1,14.95,12.19
ASCENDAS REAL ESTATE INV TRUST,2018,18,-1,7,9,-2,17,6
ASCENDAS REAL ESTATE INV TRUST,2018,19,1,2,1,0,2.8,1.36
ASCENDAS REAL ESTATE INV TRUST,2018,20,38,17,52,0,39.7,29.34
ASCENDAS REAL ESTATE INV TRUST,2018,21,10,9,20,-2,27.85,12.97
ASCENDAS REAL ESTATE INV TRUST,2018,22,-2,12,12,-14,12.05,4.01
ASCENDAS REAL ESTATE INV TRUST,2018,23,-4,4,30,-9,17.25,7.65
ASCENDAS REAL ESTATE INV TRUST,2018,24,30,18,54,-1,34.5,27.1
ASCENDAS REAL ESTATE INV TRUST,2018,25,15,2,21,8,11.05,11.41
ASCENDAS REAL ESTATE INV TRUST,2018,26,7,8,12,5,11.3,8.66
ASCENDAS REAL ESTATE INV TRUST,2018,27,-27,-10,15,6,13.35,-0.53
ASCENDAS REAL ESTATE INV TRUST,2018,28,10,13,40,17,25.7,21.14
ASCENDAS REAL ESTATE INV TRUST,2018,29,26,10,18,6,17.25,15.45
ASCENDAS REAL ESTATE INV TRUST,2018,30,17,15,19,9,15.75,15.15
ASCENDAS REAL ESTATE INV TRUST,2018,31,55,25,48,13,34.4,35.08
ASCENDAS REAL ESTATE INV TRUST,2018,33,48,31,39,9,39.1,33.22
ASCENDAS REAL ESTATE INV TRUST,2018,34,35,17,35,12,28.2,25.44
ASCENDAS REAL ESTATE INV TRUST,2018,35,4,6,19,1,10.85,8.17
ASCENDAS REAL ESTATE INV TRUST,2018,36,14,8,24,2,20.4,13.68
ASCENDAS REAL ESTATE INV TRUST,2018,37,17,10,8,3,11.75,9.95
ASCENDAS REAL ESTATE INV TRUST,2018,38,28,21,27,9,24.85,21.97
ASCENDAS REAL ESTATE INV TRUST,2018,39,12,5,23,4,13.7,11.54
ASCENDAS REAL ESTATE INV TRUST,2018,40,3,4,12,-4,11.8,5.36
ASCENDAS REAL ESTATE INV TRUST,2018,41,-10,-6,10,-10,7.55,-1.69
ASCENDAS REAL ESTATE INV TRUST,2018,42,4,1,19,-3,11.55,6.51
ASCENDAS REAL ESTATE INV TRUST,2018,44,1,1,1,0,0.75,0.75
ASCENDAS REAL ESTATE INV TRUST,2019,2,10,15,18,0,19.75,12.55
ASCENDAS REAL ESTATE INV TRUST,2019,3,47,18,15,6,17.2,20.64
ASCENDAS REAL ESTATE INV TRUST,2019,4,5,-5,27,0,16.95,8.79
ASCENDAS REAL ESTATE INV TRUST,2019,5,42,24,25,9,27.15,25.43
ASCENDAS REAL ESTATE INV TRUST,2019,6,7,15,17,-2,18.95,11.19
ASCENDAS REAL ESTATE INV TRUST,2019,7,20,22,24,1,29.7,19.34
ASCENDAS REAL ESTATE INV TRUST,2019,8,25,16,34,10,32.1,23.42
ASCENDAS REAL ESTATE INV TRUST,2019,9,50,37,37,16,37.55,35.51
ASCENDAS REAL ESTATE INV TRUST,2019,10,26,9,26,3,17.3,16.26
ASCENDAS REAL ESTATE INV TRUST,2019,11,3,3,5,0,3.85,2.97
ASCENDAS REAL ESTATE INV TRUST,2019,12,18,-10,17,1,15.25,8.25
ASCENDAS REAL ESTATE INV TRUST,2019,13,6,1,4,-1,5.9,3.18
ASCENDAS REAL ESTATE INV TRUST,2019,14,10,5,18,7,8.8,9.76
ASCENDAS REAL ESTATE INV TRUST,2019,15,-10,-9,16,-13,9.05,-1.39
ASCENDAS REAL ESTATE INV TRUST,2019,16,-22,-13,11,2,7.25,-2.95
ASCENDAS REAL ESTATE INV TRUST,2019,17,10,3,20,4,13.5,10.1
ASCENDAS REAL ESTATE INV TRUST,2019,18,26,12,23,9,21.2,18.24
ASCENDAS REAL ESTATE INV TRUST,2019,19,22,21,28,11,26.8,21.76
ASCENDAS REAL ESTATE INV TRUST,2019,20,43,18,33,12,27.15,26.63
ASCENDAS REAL ESTATE INV TRUST,2019,21,25,15,22,1,12.05,15.01
ASCENDAS REAL ESTATE INV TRUST,2019,22,3,4,12,-7,12.75,4.95
ASCENDAS REAL ESTATE INV TRUST,2019,23,5,0,8,-3,12.3,4.46
ASCENDAS REAL ESTATE INV TRUST,2019,24,-2,-3,17,-12,11.25,2.25
ASCENDAS REAL ESTATE INV TRUST,2019,25,30,9,19,3,25,17.2
ASCENDAS REAL ESTATE INV TRUST,2019,26,-32,9,-3,-31,2.2,-10.96
ASCENDAS REAL ESTATE INV TRUST,2019,27,-4,3,21,-4,12.8,5.76
ASCENDAS REAL ESTATE INV TRUST,2019,28,14,5,15,2,10.45,9.29
ASCENDAS REAL ESTATE INV TRUST,2019,29,18,14,41,3,32.1,21.62
ASCENDAS REAL ESTATE INV TRUST,2019,30,20,9,19,5,16.1,13.82
ASCENDAS REAL ESTATE INV TRUST,2019,31,-1,7,19,5,16.1,9.22
ASCENDAS REAL ESTATE INV TRUST,2019,32,-3,9,20,8,16.2,10.04
ASCENDAS REAL ESTATE INV TRUST,2019,33,42,34,30,14,31.95,30.39
ASCENDAS REAL ESTATE INV TRUST,2019,34,14,16,40,16,24.25,22.05
ASCENDAS REAL ESTATE INV TRUST,2019,35,12,5,12,3,14,9.2
ASCENDAS REAL ESTATE INV TRUST,2019,36,28,34,34,-1,39.5,26.9
ASCENDAS REAL ESTATE INV TRUST,2019,37,28,32,35,8,34.85,27.57
ASCENDAS REAL ESTATE INV TRUST,2019,38,9,3,20,0,14.2,9.24
ASCENDAS REAL ESTATE INV TRUST,2019,39,9,10,16,4,13.35,10.47
ASCENDAS REAL ESTATE INV TRUST,2019,40,6,3,16,7,13.15,9.03
ASCENDAS REAL ESTATE INV TRUST,2019,41,29,13,13,8,15.95,15.79
ASCENDAS REAL ESTATE INV TRUST,2019,42,6,2,4,3,3,3.6
ASCENDAS REAL ESTATE INV TRUST,2019,43,21,8,8,0,12.75,9.95
ASCENDAS REAL ESTATE INV TRUST,2019,44,22,12,15,4,16,13.8
ASCENDAS REAL ESTATE INV TRUST,2019,45,11,5,23,3,15.9,11.58
ASCENDAS REAL ESTATE INV TRUST,2019,46,6,-2,10,4,11.15,5.83
ASCENDAS REAL ESTATE INV TRUST,2019,47,8,6,20,-2,16.15,9.63
ASCENDAS REAL ESTATE INV TRUST,2019,48,4,-5,20,-8,22.05,6.61
ASCENDAS REAL ESTATE INV TRUST,2019,49,5,9,13,-8,20.8,7.96
ASCENDAS REAL ESTATE INV TRUST,2019,50,6,2,20,-3,15.7,8.14
ASCENDAS REAL ESTATE INV TRUST,2019,52,0,0,1,0,0.4,0.28
ASCENDAS REAL ESTATE INV TRUST,2020,1,1,2,0,0,1.6,0.92
ASCENDAS REAL ESTATE INV TRUST,2020,2,22,17,17,2,23.1,16.22
ASCENDAS REAL ESTATE INV TRUST,2020,3,5,2,7,1,2.75,3.55
ASCENDAS REAL ESTATE INV TRUST,2020,4,21,13,23,-4,21.25,14.85
ASCENDAS REAL ESTATE INV TRUST,2020,5,38,25,44,3,27.9,27.58
ASCENDAS REAL ESTATE INV TRUST,2020,6,27,21,44,1,28.4,24.28
ASCENDAS REAL ESTATE INV TRUST,2020,7,71,33,38,3,37.4,36.48
ASCENDAS REAL ESTATE INV TRUST,2020,8,22,17,34,-5,36.2,20.84
ASCENDAS REAL ESTATE INV TRUST,2020,9,7,9,18,0,8.75,8.55
ASCENDAS REAL ESTATE INV TRUST,2020,10,35,26,19,10,25.8,23.16
ASCENDAS REAL ESTATE INV TRUST,2020,11,29,40,29,14,48.35,32.07
ASCENDAS REAL ESTATE INV TRUST,2020,12,17,26,22,3,29.95,19.59
ASCENDAS REAL ESTATE INV TRUST,2020,13,6,-7,13,0,8.4,4.08
ASCENDAS REAL ESTATE INV TRUST,2020,14,57,34,59,17,55.75,44.55
ASCENDAS REAL ESTATE INV TRUST,2020,15,5,4,3,0,5.85,3.57
ASCENDAS REAL ESTATE INV TRUST,2020,16,12,16,50,3,19.5,20.1
ASCENDAS REAL ESTATE INV TRUST,2020,17,5,13,35,0,9.55,12.51
ASCENDAS REAL ESTATE INV TRUST,2020,18,2,0,11,0,10.05,4.61
ASCENDAS REAL ESTATE INV TRUST,2020,19,21,14,35,9,34.2,22.64
ASCENDAS REAL ESTATE INV TRUST,2020,20,52,23,54,15,36.1,36.02
ASCENDAS REAL ESTATE INV TRUST,2020,21,5,22,62,0,14.75,20.75
ASCENDAS REAL ESTATE INV TRUST,2020,22,9,11,22,12,17.55,14.31
ASCENDAS REAL ESTATE INV TRUST,2020,23,23,16,17,3,16.6,15.12
ASCENDAS REAL ESTATE INV TRUST,2020,24,13,5,16,-4,13.35,8.67
ASCENDAS REAL ESTATE INV TRUST,2020,25,-14,-13,-4,2,1.1,-5.58
ASCENDAS REAL ESTATE INV TRUST,2020,26,6,7,8,0,7.2,5.64
ASCENDAS REAL ESTATE INV TRUST,2020,27,19,9,28,-2,21.9,15.18
ASCENDAS REAL ESTATE INV TRUST,2020,28,12,0,19,-2,17.85,9.37
ASCENDAS REAL ESTATE INV TRUST,2020,29,28,12,29,-2,37.45,20.89
ASCENDAS REAL ESTATE INV TRUST,2020,30,-45,-7,-2,-31,-7,-18.4
ASCENDAS REAL ESTATE INV TRUST,2020,31,12,17,19,-4,19.3,12.66
ASCENDAS REAL ESTATE INV TRUST,2020,32,19,13,22,5,18.4,15.48
ASCENDAS REAL ESTATE INV TRUST,2020,33,16,19,25,2,30.35,18.47
ASCENDAS REAL ESTATE INV TRUST,2020,34,28,6,18,2,19.25,14.65
ASCENDAS REAL ESTATE INV TRUST,2020,35,57,54,65,8,61.9,49.18
ASCENDAS REAL ESTATE INV TRUST,2020,36,11,7,13,1,8.95,8.19
ASCENDAS REAL ESTATE INV TRUST,2020,37,39,21,19,2,24.35,21.07
ASCENDAS REAL ESTATE INV TRUST,2020,38,32,13,23,4,17.4,17.88
ASCENDAS REAL ESTATE INV TRUST,2020,39,6,2,22,-2,17.85,9.17
ASCENDAS REAL ESTATE INV TRUST,2020,40,34,15,29,5,27.4,22.08
ASCENDAS REAL ESTATE INV TRUST,2020,41,44,25,46,7,33.45,31.09
ASCENDAS REAL ESTATE INV TRUST,2020,42,37,23,30,4,30.95,24.99
ASCENDAS REAL ESTATE INV TRUST,2020,43,21,12,15,5,16.1,13.82
ASCENDAS REAL ESTATE INV TRUST,2020,44,3,4,5,-2,4.95,2.99
ASCENDAS REAL ESTATE INV TRUST,2020,45,25,11,22,9,18.8,17.16
ASCENDAS REAL ESTATE INV TRUST,2020,46,4,8,12,8,12.75,8.95
ASCENDAS REAL ESTATE INV TRUST,2020,47,28,20,18,10,20.55,19.31
ASCENDAS REAL ESTATE INV TRUST,2020,48,35,9,26,-3,26.85,18.77
ASCENDAS REAL ESTATE INV TRUST,2020,49,29,20,41,4,33.15,25.43
ASCENDAS REAL ESTATE INV TRUST,2020,50,50,25,41,3,44.5,32.7
ASCENDAS REAL ESTATE INV TRUST,2020,51,-12,-9,6,-6,1.75,-3.85
ASCENDAS REAL ESTATE INV TRUST,2020,52,0,10,33,-9,22.3,11.26
ASCENDAS REAL ESTATE INV TRUST,2020,53,-36,-11,26,-12,17.05,-3.19
ASCENDAS REAL ESTATE INV TRUST,2020,54,14,3,19,3,11.4,10.08
ASCENDAS REAL ESTATE INV TRUST,2020,55,19,7,22,5,13.55,13.31
ASCENDAS REAL ESTATE INV TRUST,2020,56,1,5,15,-4,12.65,5.93
ASCENDAS REAL ESTATE INV TRUST,2020,57,-3,-7,7,-7,3.95,-1.21
ASCENDAS REAL ESTATE INV TRUST,2020,58,0,-1,18,-14,8.85,2.37
ASCENDAS REAL ESTATE INV TRUST,2020,59,13,5,2,-3,5.5,4.5
ASCENDAS REAL ESTATE INV TRUST,2020,60,0,0,2,0,0.4,0.48
ASCENDAS REAL ESTATE INV TRUST,2021,2,6,2,4,2,3.95,3.59
ASCENDAS REAL ESTATE INV TRUST,2021,3,8,7,7,-1,8.05,5.81
ASCENDAS REAL ESTATE INV TRUST,2021,4,4,5,4,0,5.7,3.74
ASCENDAS REAL ESTATE INV TRUST,2021,5,28,24,28,1,30.95,22.39
ASCENDAS REAL ESTATE INV TRUST,2021,6,8,12,20,6,14.15,12.03
ASCENDAS REAL ESTATE INV TRUST,2021,7,11,10,13,5,15.35,10.87
ASCENDAS REAL ESTATE INV TRUST,2021,8,21,31,44,10,34.15,28.03
ASCENDAS REAL ESTATE INV TRUST,2021,9,46,23,42,13,31.6,31.12
ASCENDAS REAL ESTATE INV TRUST,2021,10,17,15,13,-3,23.35,13.07
ASCENDAS REAL ESTATE INV TRUST,2021,11,10,9,15,-1,14.3,9.46
ASCENDAS REAL ESTATE INV TRUST,2021,12,44,54,44,24,61.95,45.59
ASCENDAS REAL ESTATE INV TRUST,2021,13,49,62,49,8,76.7,48.94
ASCENDAS REAL ESTATE INV TRUST,2021,14,34,35,39,9,43.65,32.13
ASCENDAS REAL ESTATE INV TRUST,2021,15,-1,1,16,1,19.5,7.3
ASCENDAS REAL ESTATE INV TRUST,2021,16,61,36,55,18,56.95,45.39
ASCENDAS REAL ESTATE INV TRUST,2021,17,4,4,0,1,4.65,2.73
ASCENDAS REAL ESTATE INV TRUST,2021,18,17,16,58,2,21.85,22.97
ASCENDAS REAL ESTATE INV TRUST,2021,19,14,7,19,3,11.75,10.95
ASCENDAS REAL ESTATE INV TRUST,2021,20,0,1,34,0,2.85,7.57
ASCENDAS REAL ESTATE INV TRUST,2021,21,2,0,12,1,9.95,4.99
ASCENDAS REAL ESTATE INV TRUST,2021,22,8,29,43,13,41.25,26.85
ASCENDAS REAL ESTATE INV TRUST,2021,23,19,9,37,10,35.45,22.09
ASCENDAS REAL ESTATE INV TRUST,2021,24,-25,-15,20,5,18.6,0.72
ASCENDAS REAL ESTATE INV TRUST,2021,25,4,2,27,7,23.7,12.74
ASCENDAS REAL ESTATE INV TRUST,2021,26,13,10,28,2,32.05,17.01
ASCENDAS REAL ESTATE INV TRUST,2021,27,15,8,20,2,19.65,12.93
ASCENDAS REAL ESTATE INV TRUST,2021,28,30,14,56,10,30.5,28.1
ASCENDAS REAL ESTATE INV TRUST,2021,29,73,33,80,0,23.6,41.92
ASCENDAS REAL ESTATE INV TRUST,2021,30,35,17,43,2,16.45,22.69
ASCENDAS REAL ESTATE INV TRUST,2021,31,9,14,18,7,15.25,12.65
ASCENDAS REAL ESTATE INV TRUST,2021,32,27,25,29,12,30.4,24.68
ASCENDAS REAL ESTATE INV TRUST,2021,33,9,7,21,4,12.15,10.63
ASCENDAS REAL ESTATE INV TRUST,2021,34,13,15,21,1,19.3,13.86
ASCENDAS REAL ESTATE INV TRUST,2021,35,7,9,12,5,14,9.4
ASCENDAS REAL ESTATE INV TRUST,2021,36,5,11,24,1,21.85,12.57
ASCENDAS REAL ESTATE INV TRUST,2021,37,16,8,15,3,17.1,11.82
ASCENDAS REAL ESTATE INV TRUST,2021,38,-25,-20,-20,1,-14.25,-15.65
ASCENDAS REAL ESTATE INV TRUST,2021,39,22,13,24,7,18.5,16.9
ASCENDAS REAL ESTATE INV TRUST,2021,40,16,9,27,-2,18.2,13.64
ASCENDAS REAL ESTATE INV TRUST,2021,41,6,3,15,-4,15.95,7.19
ASCENDAS REAL ESTATE INV TRUST,2021,42,27,5,21,-4,24.9,14.78
ASCENDAS REAL ESTATE INV TRUST,2021,43,-11,-11,12,-10,9.7,-2.06
ASCENDAS REAL ESTATE INV TRUST,2021,44,-32,4,-5,-22,-2.3,-11.46
ASCENDAS REAL ESTATE INV TRUST,2021,45,21,16,29,-1,33.15,19.63
ASCENDAS REAL ESTATE INV TRUST,2021,46,54,27,27,12,26.45,29.29
ASCENDAS REAL ESTATE INV TRUST,2021,47,21,28,49,-4,38.5,26.5
ASCENDAS REAL ESTATE INV TRUST,2021,48,48,38,35,8,40.05,33.81
ASCENDAS REAL ESTATE INV TRUST,2021,49,2,2,13,1,5.55,4.71
ASCENDAS REAL ESTATE INV TRUST,2021,50,32,22,22,-2,23.85,19.57
ASCENDAS REAL ESTATE INV TRUST,2021,51,33,29,38,3,34.15,27.43
ASCENDAS REAL ESTATE INV TRUST,2021,52,25,20,47,6,36.3,26.86
ASCENDAS REAL ESTATE INV TRUST,2021,53,10,2,11,-1,8,6
ASCENDAS REAL ESTATE INV TRUST,2021,54,24,18,26,6,25.5,19.9
ASCENDAS REAL ESTATE INV TRUST,2021,55,44,27,45,7,34.4,31.48
ASCENDAS REAL ESTATE INV TRUST,2021,56,24,17,25,5,19.1,18.02
ASCENDAS REAL ESTATE INV TRUST,2021,57,39,15,36,12,25.3,25.46
ASCENDAS REAL ESTATE INV TRUST,2021,58,26,15,21,8,21.3,18.26
ASCENDAS REAL ESTATE INV TRUST,2021,59,26,14,22,10,21.7,18.74
ASCENDAS REAL ESTATE INV TRUST,2021,60,28,17,33,4,26,21.6
ASCENDAS REAL ESTATE INV TRUST,2021,61,20,9,33,3,24.25,17.85
ASCENDAS REAL ESTATE INV TRUST,2021,62,12,6,25,1,14.3,11.66
ASCENDAS REAL ESTATE INV TRUST,2021,63,23,7,34,4,23.45,18.29
ASCENDAS REAL ESTATE INV TRUST,2021,64,19,11,22,6,20.3,15.66
ASCENDAS REAL ESTATE INV TRUST,2021,65,-12,-8,6,-6,1.75,-3.65
ASCENDAS REAL ESTATE INV TRUST,2021,66,-26,-18,2,-21,-1.35,-12.87
ASCENDAS REAL ESTATE INV TRUST,2021,67,0,5,13,-6,8.45,4.09
ASCENDAS REAL ESTATE INV TRUST,2021,68,-44,-15,24,-18,14.5,-7.7
ASCENDAS REAL ESTATE INV TRUST,2021,69,11,3,20,3,14.25,10.25
