"","topics","CaoJuan2009","Deveaud2014"
"1",50,0.0669676085950371,3.00779557020833
"2",49,0.0662714031539802,3.00433801356581
"3",48,0.0671306318910384,3.00498670436056
"4",47,0.0676926400164584,3.02473870353251
"5",46,0.0672831010478827,3.03586642043724
"6",45,0.0653654120126675,3.03224341967618
"7",44,0.0694731472932363,2.9999347208751
"8",43,0.0683304786233269,3.02575846657753
"9",42,0.067028169310194,3.01573583178514
"10",41,0.0696428286469622,3.04182131565364
"11",40,0.0694234330309192,3.01594876396458
"12",39,0.0712494720995279,3.0212443927765
"13",38,0.0717777144398271,3.03919955989102
"14",37,0.0785735623198486,2.97932064031693
"15",36,0.0771083380441087,3.00749050463677
"16",35,0.0805575257089525,2.98150925844793
"17",34,0.0825545034645042,2.99620185989599
"18",33,0.0804174613605117,3.00214019273264
"19",32,0.083123517956222,2.9844149789261
"20",31,0.0805140828682325,3.00160085833268
"21",30,0.0848683359149943,2.9789174800903
"22",29,0.0830782881353642,3.00640065045573
"23",28,0.0850223260705149,2.99113126983001
"24",27,0.0852737301308183,3.01421272685893
"25",26,0.0913399950757379,2.97481686191803
"26",25,0.0877969788390421,2.99736812492651
"27",24,0.092733263266882,2.97546495891733
"28",23,0.0917962952118678,3.00540712355229
"29",22,0.0953383637206455,2.98166068907488
"30",21,0.0986407404420775,2.95345331947474
"31",20,0.0917916809655037,2.98034561746941
"32",19,0.101355289695038,2.96610475504878
"33",18,0.106194305597918,2.9258043014803
"34",17,0.111524877072768,2.93732708688202
"35",16,0.111393788468546,2.93041701422964
"36",15,0.118927993507016,2.88876485253398
"37",14,0.117716363603529,2.89800061837222
"38",13,0.120792025217373,2.91508219383152
"39",12,0.121086849754132,2.92619868208051
"40",11,0.131161181641224,2.85071312608385
"41",10,0.136760023858443,2.80311665006966
"42",9,0.133901061117942,2.86354451264001
"43",8,0.151320357038494,2.79357120272226
"44",7,0.143878882653295,2.82250849404216
"45",6,0.168556894663609,2.7361006464668
"46",5,0.180117583030027,2.68209065810088
"47",4,0.210435628740342,2.67124930133032
"48",3,0.220748076380531,2.49489860936652
"49",2,0.248149503783609,2.3630510163053
